underlying,ticker,vencimento,dias_uteis,fm,mod,strike,ai_otm,dist_perc_strike,ultimo,var_perc,data_hora,num_neg,vol_financeiro,vol_impl_perc,delta,gamma,theta_dolar,theta_perc,vega,iq,coberto,travado,descoberto,titulares,lancadores,earnings_yield_ttm,pe_ttm,Status_Moneyness,%_Alta_p_2x,Status_2x,Status_Liquidez,Status_Theta,moneyness_score,liquidez_score,dobro_score,theta_score,score_total
BBAS3,BBASL217,18/12/2026,269,,E,"21,77",ITM,"-2,99","3,47","+0,57",22/10/2025,1,"3.470,00","26,1","0,7109","0,0595","-0,0101","-0,29","7,5178","1,50",2.000,0,400,3,2,,,ITM,"21,8",Dobra com 20-40% no ativo,Baixa,Theta baixo,0,0,1,1,2
BBAS3,BBASL222,18/12/2026,269,,E,"22,27",ATM,"-0,76","4,59","+17,39",14/11/2025,3,"10.909,00","24,7","0,8034","0,0475","-0,0112","-0,24","6,5483","1,20",2.800,0,20.300,6,5,,,0-5% OTM (colada),"25,5",Dobra com 20-40% no ativo,Média,Theta baixo,2,1,1,1,5
BBAS3,BBASK226,19/11/2027,496,,E,"22,65",ATM,"+0,94",,,,,,,,,,,,,,,,,,,,0-5% OTM (colada),,,,,2,0,0,0,2
BBAS3,BBASL251,18/12/2026,269,,E,"24,27",OTM,"+8,16","3,30","0,00",14/11/2025,24,"23.707,00","24,2","0,6983","0,0611","-0,0111","-0,34","8,2298","1,96",40.600,6.700,169.200,98,50,,,5-15% OTM (aposta),"21,1",Dobra com 20-40% no ativo,Média,Theta baixo,1,1,1,1,4
BBAS3,BBASE266,21/05/2027,371,,E,"26,64",OTM,"+18,72","2,50","-19,35",14/11/2025,2,"1.500,00","23,4","0,6200","0,0599","-0,0097","-0,39","10,3533","1,62",6.600,300,65.100,47,29,,,15-20% OTM,"18,0",Dobra com até 20% no ativo,Baixa,Theta baixo,0,0,2,1,3
BBAS3,BBASC272,19/03/2027,328,,E,"26,89",OTM,"+19,83","2,92","+21,16",10/11/2025,2,"24.526,00","23,4","0,4888","0,0669","-0,0076","-0,26","10,1461","2,85",500,0,120.200,37,13,,,15-20% OTM,"26,6",Dobra com 20-40% no ativo,Média,Theta baixo,0,1,1,1,3
BBAS3,BBASD275,16/04/2027,347,,E,"27,14",OTM,"+20,94","3,25","+23,57",11/11/2025,1,"325,00","26,1","0,5969","0,0541","-0,0096","-0,29","10,6391","1,46",1.800,100,49.100,41,28,,,20%+ OTM (loteria),"24,3",Dobra com 20-40% no ativo,Baixa,Theta baixo,0,0,1,1,2
BBAS3,BBASL281,18/12/2026,269,,E,"27,27",OTM,"+21,52","1,90","-17,03",13/11/2025,1,"190,00","26,4","0,4762","0,0661","-0,0095","-0,50","9,0812","1,00",4.000,100,12.500,10,10,,,20%+ OTM (loteria),"17,8",Dobra com até 20% no ativo,Baixa,Theta médio,0,0,2,0,2
BBAS3,BBASD280,16/04/2027,347,,E,"27,64",OTM,"+23,17","3,05","+10,90",11/11/2025,1,"305,00","22,3","0,4765","0,0679","-0,0074","-0,24","10,4788","1,53",2.500,0,19.500,29,19,,,20%+ OTM (loteria),"28,5",Dobra com 20-40% no ativo,Baixa,Theta baixo,0,0,1,1,2
BBAS3,BBASL272,18/12/2026,269,,E,"27,77",OTM,"+23,75","1,28","0,00",20/10/2025,1,"256,00","24,8","0,3823","0,0690","-0,0076","-0,59","8,5170","1,00",2.600,0,200,2,2,,,20%+ OTM (loteria),"14,9",Dobra com até 20% no ativo,Baixa,Theta médio,0,0,2,0,2
BBAS3,BBASL286,18/12/2026,269,,E,"28,27",OTM,"+25,98","1,50","+26,05",30/10/2025,1,"450,00","25,9","0,4090","0,0656","-0,0085","-0,57","8,8739","0,47",6.600,100,17.400,9,19,,,20%+ OTM (loteria),"16,3",Dobra com até 20% no ativo,Baixa,Theta médio,0,0,2,0,2
BBAS3,BBASL287,18/12/2026,269,,E,"28,77",OTM,"+28,21","1,45","-3,33",03/11/2025,1,"1.015,00","24,8","0,4045","0,0671","-0,0085","-0,59","9,0140","0,40",6.500,0,1.600,2,5,,,20%+ OTM (loteria),"16,0",Dobra com até 20% no ativo,Baixa,Theta médio,0,0,2,0,2
BBAS3,BBASL301,18/12/2026,269,,E,"29,27",OTM,"+30,44","1,33","0,00",14/11/2025,3,"2.968,00","28,2","0,4321","0,0570","-0,0088","-0,67","9,6066","0,81",12.700,200,221.100,30,37,,,20%+ OTM (loteria),"13,7",Dobra com até 20% no ativo,Baixa,Theta médio,0,0,2,0,2
BBAS3,BBASL297,18/12/2026,269,,E,"29,77",OTM,"+32,66","1,75",,11/11/2025,2,"360,00","25,4","0,4394","0,0635","-0,0096","-0,55","9,6328",,,,,,,,,20%+ OTM (loteria),"17,7",Dobra com até 20% no ativo,Baixa,Theta médio,0,0,2,0,2
BBAS3,BBASL306,18/12/2026,269,,E,"30,27",OTM,"+34,89","1,55","+0,64",29/09/2025,2,"310,00","27,6","0,3873","0,0571","-0,0084","-0,54","9,3028","1,00",0,0,200,1,1,,,20%+ OTM (loteria),"17,8",Dobra com até 20% no ativo,Baixa,Theta médio,0,0,2,0,2
BBAS3,BBASL316,18/12/2026,269,,E,"31,27",OTM,"+39,35","0,64","-13,51",21/10/2025,2,"2.876,00","26,3","0,2212","0,0518","-0,0053","-0,83","6,4806","0,75",0,0,265.800,3,4,,,20%+ OTM (loteria),"12,9",Dobra com até 20% no ativo,Baixa,Theta médio,0,0,2,0,2
BBAS3,BBASD335,16/04/2027,347,,E,"33,14",OTM,"+47,68","1,15","+29,21",14/11/2025,3,"1.573,00","25,6","0,3387","0,0527","-0,0070","-0,61","9,9203","2,55",404.700,1.400,5.936.500,112,44,,,20%+ OTM (loteria),"15,1",Dobra com até 20% no ativo,Baixa,Theta médio,0,0,2,0,2
BBAS3,BBASL336,18/12/2026,269,,E,"33,27",OTM,"+48,26","0,85","+14,86",12/11/2025,2,"940,00","26,8","0,1711","0,0432","-0,0044","-0,51","5,5725","1,86",856,0,8.644,13,7,,,20%+ OTM (loteria),"22,1",Dobra com 20-40% no ativo,Baixa,Theta médio,0,0,1,0,1
BBAS3,BBASL356,18/12/2026,269,,E,"35,27",OTM,"+57,17","0,58","+11,53",14/11/2025,2,"754,00","26,6","0,2011","0,0436","-0,0052","-0,90","6,8144","0,80",1.100,800,12.800,8,10,,,20%+ OTM (loteria),"12,9",Dobra com até 20% no ativo,Baixa,Theta médio,0,0,2,0,2
BBDC3,BBDCH922,21/08/2026,188,,E,"8,97",ITM,"-46,00",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BBDC3,BBDCH942,21/08/2026,188,,E,"9,17",ITM,"-44,79",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BBDC3,BBDCH962,21/08/2026,188,,E,"9,37",ITM,"-43,59",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BBDC3,BBDCH982,21/08/2026,188,,E,"9,57",ITM,"-42,38",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BBDC3,BBDCG1,17/07/2026,163,,E,"11,72",ITM,"-29,44","3,48","+74,00",25/08/2025,2,"694,00","10,8","0,9980","0,0044","-0,0062","-0,18","0,0822","1,00",0,2.750.000,10.900,4,4,,,ITM,"21,0",Dobra com 20-40% no ativo,Baixa,Theta baixo,0,0,1,1,2
BBDC3,BBDCG122,17/07/2026,163,,E,"12,22",ITM,"-26,43","4,50",,03/11/2025,1,"246.600,00",,,,,,,"1,00",54.800,0,0,1,1,,,ITM,,,Alta,,0,2,0,0,2
BBDC3,BBDCG131,17/07/2026,163,,E,"12,72",ITM,"-23,42","2,70","-2,17",27/08/2025,2,"535,00","20,0","0,8782","0,0776","-0,0069","-0,26","2,6326","0,67",2.750.000,2.750.400,0,2,3,,,ITM,"18,5",Dobra com até 20% no ativo,Baixa,Theta baixo,0,0,2,1,3
BBDC3,BBDCG137,17/07/2026,163,,E,"13,72",ITM,"-17,40","4,21","+12,26",14/11/2025,2,"79.570,00",,,,,,,"1,00",0,0,18.900,1,1,,,ITM,,,Alta,,0,2,0,0,2
BBDC3,BBDCI9,18/09/2026,207,,E,"15,77",ITM,"-5,06","2,65","+27,40",10/11/2025,6,"1.858,00","20,4","0,8220","0,0859","-0,0082","-0,31","3,8812","0,60",126.000,0,300,3,5,,,ITM,"19,4",Dobra com até 20% no ativo,Média,Theta baixo,0,1,2,1,4
BBDC3,BBDCL178,18/12/2026,269,,E,"17,82",OTM,"+7,28","1,60","+8,84",27/10/2025,1,"160,00","19,8","0,6138","0,1166","-0,0070","-0,44","6,3567","0,50",95.400,0,100,2,4,,,5-15% OTM (aposta),"15,7",Dobra com até 20% no ativo,Baixa,Theta baixo,1,0,2,1,4
BBDC3,BBDCK46,19/11/2026,249,,E,"18,27",OTM,"+9,99","1,92","+9,09",13/11/2025,2,"767,00","21,0","0,6555","0,1047","-0,0080","-0,42","6,1555","0,75",163.500,0,5.600,3,4,,,5-15% OTM (aposta),"17,6",Dobra com até 20% no ativo,Baixa,Theta baixo,1,0,2,1,4
BBDC3,BBDCL5,18/12/2026,269,,E,"18,32",OTM,"+10,30","1,55","+5,44",11/11/2025,1,"3.255,00","14,8","0,6817","0,1401","-0,0075","-0,48","6,1460","1,00",52.100,0,3.300,3,3,,,5-15% OTM (aposta),"13,7",Dobra com até 20% no ativo,Baixa,Theta baixo,1,0,2,1,4
BBDC4,BBDCA723,15/01/2027,285,,E,"6,07",ITM,"-68,82","13,90","+10,31",12/11/2025,4,"36.121,00",,"1,0000","0,0000","-0,0031","-0,02","0,0003","1,58",2.800,0,83.000,19,12,,,ITM,"71,4",Precisa de 40%+ no ativo,Média,Theta baixo,0,1,0,1,2
BBDC4,BBDCF670,18/06/2027,390,,E,"6,08",ITM,"-68,77","12,05","-2,11",10/10/2025,1,"6.025,00",,"1,0000","0,0000","-0,0029","-0,02","0,0002","1,00",200,0,43.800,7,7,,,ITM,"61,9",Precisa de 40%+ no ativo,Média,Theta baixo,0,1,0,1,2
BBDC4,BBDCB11,19/02/2027,308,,E,"10,11",ITM,"-48,07","10,98","+1,66",13/11/2025,2,"10.977,00",,,,,,,"0,67",0,0,63.100,8,12,,,ITM,,,Média,,0,1,0,0,1
BBDC4,BBDCH103,20/08/2027,435,,E,"10,11",ITM,"-48,07","11,18","+7,70",11/11/2025,3,"11.069,00",,"0,9978","0,0014","-0,0046","-0,04","0,1589","1,20",12.200,0,89.700,12,10,,,ITM,"57,6",Precisa de 40%+ no ativo,Média,Theta baixo,0,1,0,1,2
BBDC4,BBDCK12,19/11/2026,249,,E,"12,13",ITM,"-37,70","7,70","+54,00",27/10/2025,2,"1.536,00",,,,,,,"2,00",0,1.100,0,2,1,,,ITM,,,Baixa,,0,0,0,0,0
BBDC4,BBDCK138,19/11/2026,249,,E,"13,63",ITM,"-29,99","6,71",,07/11/2025,3,"286.850,00",,,,,,,"1,00",0,0,43.000,1,1,,,ITM,,,Alta,,0,2,0,0,2
BBDC4,BBDCK144,19/11/2026,249,,E,"14,13",ITM,"-27,43",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BBDC4,BBDCK148,19/11/2026,249,,E,"14,63",ITM,"-24,86",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BBDC4,BBDCB15,19/02/2027,308,,E,"15,11",ITM,"-22,39","6,65","-1,48",14/11/2025,1,"3.325,00",,"0,9097","0,0316","-0,0076","-0,11","3,3911","0,80",3.000,3.100,10.200,12,15,,,ITM,"37,5",Dobra com 20-40% no ativo,Baixa,Theta baixo,0,0,1,1,2
BBDC4,BBDCK154,19/11/2026,249,,E,"15,13",ITM,"-22,29",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BBDC4,BBDCH159,20/08/2027,435,,E,"15,61",ITM,"-19,83","6,00","+6,95",27/10/2025,1,"600,00",,,,,,,"0,67",100,0,4.500,2,3,,,ITM,,,Baixa,,0,0,0,0,0
BBDC4,BBDCB168,19/02/2027,308,,E,"16,11",ITM,"-17,26","5,22","+12,25",05/11/2025,1,"4.698,00","22,6","0,7668","0,0709","-0,0069","-0,13","5,8432","0,32",4.100,0,12.000,6,19,,,ITM,"35,0",Dobra com 20-40% no ativo,Baixa,Theta baixo,0,0,1,1,2
BBDC4,BBDCL171,18/12/2026,269,,E,"17,09",ITM,"-12,22","5,21","+23,16",13/11/2025,1,"1.042,00",,,,,,,"0,50",316.200,0,13.600,4,8,,,ITM,,,Baixa,,0,0,0,0,0
BBDC4,BBDCB178,19/02/2027,308,,E,"17,11",ITM,"-12,12","4,15","+7,79",27/10/2025,2,"825,00","9,3","0,9939","0,0090","-0,0084","-0,20","0,3549","0,09",10.500,0,24.300,2,22,,,ITM,"21,4",Dobra com 20-40% no ativo,Baixa,Theta baixo,0,0,1,1,2
BBDC4,BBDCB188,19/02/2027,308,,E,"18,11",ITM,"-6,99","4,00","+45,45",05/11/2025,1,"400,00","17,8","0,8907","0,0501","-0,0087","-0,22","3,9374","0,10",400,0,2.900,1,10,,,ITM,"23,1",Dobra com 20-40% no ativo,Baixa,Theta baixo,0,0,1,1,2
BBDC4,BBDCB3,19/02/2027,308,,E,"19,11",ATM,"-1,85","3,20","+1,58",29/10/2025,1,"1.920,00","16,0","0,8471","0,0698","-0,0088","-0,27","4,9859","0,30",400,0,14.400,3,10,,,0-5% OTM (colada),"19,4",Dobra com até 20% no ativo,Baixa,Theta baixo,2,0,2,1,5
BBDC4,BBDCK203,19/11/2026,249,,E,"20,13",OTM,"+3,39","2,20","+9,45",30/10/2025,4,"863,00","24,3","0,6247","0,0846","-0,0087","-0,40","6,9866","0,75",22.200,0,300,3,4,,,0-5% OTM (colada),"18,1",Dobra com até 20% no ativo,Baixa,Theta baixo,2,0,2,1,5
